"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Betrag";"Rückerstatteter Betrag";"Nettosumme"
"Suedseite - Bakery and Roastery";"55978";"2025-03-15";"EUR";"SUMUP";"1103,96";"0,00";"1103,96"
"Suedseite - Bakery and Roastery";"55978";"2025-03-16";"EUR";"CASH";"448,70";"0,00";"448,70"
"Suedseite - Bakery and Roastery";"55978";"2025-03-16";"EUR";"SUMUP";"913,67";"0,00";"913,67"
"Suedseite - Bakery and Roastery";"55978";"2025-03-18";"EUR";"CASH";"344,40";"0,00";"344,40"
"Suedseite - Bakery and Roastery";"55978";"2025-03-18";"EUR";"SUMUP";"546,21";"0,00";"546,21"
"Suedseite - Bakery and Roastery";"55978";"2025-03-19";"EUR";"CASH";"458,60";"0,00";"458,60"
"Suedseite - Bakery and Roastery";"55978";"2025-03-19";"EUR";"SUMUP";"446,24";"0,00";"446,24"
"Suedseite - Bakery and Roastery";"55978";"2025-03-20";"EUR";"CASH";"306,80";"0,00";"306,80"
"Suedseite - Bakery and Roastery";"55978";"2025-03-20";"EUR";"SUMUP";"388,57";"0,00";"388,57"
"Suedseite - Bakery and Roastery";"55978";"2025-03-21";"EUR";"CASH";"502,40";"-28,20";"474,20"
"Suedseite - Bakery and Roastery";"55978";"2025-03-21";"EUR";"SUMUP";"724,82";"0,00";"724,82"
"Suedseite - Bakery and Roastery";"55978";"2025-03-22";"EUR";"CASH";"369,00";"0,00";"369,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-22";"EUR";"SUMUP";"877,57";"0,00";"877,57"
"Suedseite - Bakery and Roastery";"55978";"2025-03-23";"EUR";"CASH";"674,03";"-22,40";"651,63"
"Suedseite - Bakery and Roastery";"55978";"2025-03-23";"EUR";"SUMUP";"1043,93";"0,00";"1043,93"
"Suedseite - Bakery and Roastery";"55978";"2025-03-25";"EUR";"CASH";"389,14";"0,00";"389,14"
"Suedseite - Bakery and Roastery";"55978";"2025-03-25";"EUR";"SUMUP";"382,56";"0,00";"382,56"
"Suedseite - Bakery and Roastery";"55978";"2025-03-26";"EUR";"CASH";"362,65";"0,00";"362,65"
"Suedseite - Bakery and Roastery";"55978";"2025-03-26";"EUR";"SUMUP";"558,55";"-6,20";"552,35"
"Suedseite - Bakery and Roastery";"55978";"2025-03-27";"EUR";"CASH";"288,76";"0,00";"288,76"
"Suedseite - Bakery and Roastery";"55978";"2025-03-27";"EUR";"SUMUP";"551,63";"0,00";"551,63"
"Suedseite - Bakery and Roastery";"55978";"2025-03-28";"EUR";"CASH";"500,32";"-12,40";"487,92"
"Suedseite - Bakery and Roastery";"55978";"2025-03-28";"EUR";"SUMUP";"703,76";"0,00";"703,76"
"Suedseite - Bakery and Roastery";"55978";"2025-03-29";"EUR";"CASH";"378,87";"0,00";"378,87"
"Suedseite - Bakery and Roastery";"55978";"2025-03-29";"EUR";"SUMUP";"878,04";"0,00";"878,04"
"Suedseite - Bakery and Roastery";"55978";"2025-03-30";"EUR";"CASH";"481,25";"0,00";"481,25"
"Suedseite - Bakery and Roastery";"55978";"2025-03-30";"EUR";"SUMUP";"800,29";"0,00";"800,29"
